Country,Rank,Bsk.M,Bsk.W,Crk.M,Crk.W,Ftb.M,Ftb.W,Hck.M,Hck.W,Rgb.M,Rgb.W,Vbl.M,Vbl.W,Wtp.M,Wtp.W,Bsk.Avg,Crk.Avg,Ftb.Avg,Hck.Avg,Rgb.Avg,Vbl.Avg,Wtp.Avg,M.Total,W.Total,Total,M.Rat,W.Rat,SGDPPC
United States,18,1,1,31,36,30,1,25,12,4,#N/A,2,3,11,1,1,33.5,15.5,18.5,4,2.5,6,7,6,13,0.538461538,0.461538462,59927.93029
England,19,44,25,2,2,4,3,7,2,2,4,171,154,36,24,34.5,2,3.5,4.5,3,162.5,30,7,7,14,0.5,0.5,44920.45173
United Arab Emirates,20,120,#N/A,16,16,67,98,#N/A,#N/A,58,63,89,#N/A,#N/A,#N/A,120,16,82.5,#DIV/0!,60.5,89,#DIV/0!,5,3,8,0.625,0.375,74035.24746
Czech Republic,21,24,12,72,#N/A,41,29,29,19,41,#N/A,30,24,#N/A,#N/A,18,72,35,24,41,27,#DIV/0!,6,4,10,0.6,0.4,38019.58051
Malta,22,84,#N/A,68,#N/A,181,101,#N/A,#N/A,63,39,#N/A,159,43,#N/A,84,68,141,#DIV/0!,51,159,43,5,3,8,0.625,0.375,40796.75925
France,23,3,4,45,42,2,4,15,30,5,8,9,40,14,14,3.5,43.5,3,22.5,6.5,24.5,14,7,7,14,0.5,0.5,44032.89807
Mexico,24,14,33,49,45,18,26,#N/A,29,80,51,21,21,42,27,23.5,47,22,29,65.5,21,34.5,6,7,13,0.461538462,0.538461538,18655.92173
Chile,25,73,32,61,51,16,39,28,16,56,29,37,78,#N/A,#N/A,52.5,56,27.5,22,42.5,57.5,#DIV/0!,6,6,12,0.5,0.5,24747.30715
Chinese Taipei,26,57,39,#N/A,#N/A,125,40,#N/A,#N/A,44,66,36,33,#N/A,#N/A,48,#DIV/0!,82.5,#DIV/0!,55,34.5,#DIV/0!,4,4,8,0.5,0.5,#N/A
Panama,27,43,#N/A,53,#N/A,75,56,#N/A,#N/A,#N/A,#N/A,108,94,#N/A,#N/A,43,53,65.5,#DIV/0!,#DIV/0!,101,#DIV/0!,4,2,6,0.666666667,0.333333333,24520.86738
Brazil,28,12,9,71,39,3,10,27,#N/A,22,26,1,4,7,10,10.5,55,6.5,27,24,2.5,8.5,7,6,13,0.538461538,0.461538462,15553.40159
Argentina,29,5,15,58,28,12,37,4,4,39,10,7,11,17,21,10,43,24.5,4,24.5,9,19,7,7,14,0.5,0.5,20828.87632
Guatemala,30,148,#N/A,#N/A,#N/A,146,80,#N/A,#N/A,115,#N/A,42,42,37,#N/A,148,#DIV/0!,113,#DIV/0!,115,42,37,5,2,7,0.714285714,0.285714286,8167.549284
Uruguay,31,34,#N/A,#N/A,#N/A,8,75,#N/A,24,55,17,86,65,50,#N/A,34,#DIV/0!,41.5,24,36,75.5,50,5,4,9,0.555555556,0.444444444,22610.34234
Qatar,32,63,#N/A,21,24,55,#N/A,#N/A,#N/A,#N/A,#N/A,34,#N/A,#N/A,#N/A,63,22.5,55,#DIV/0!,#DIV/0!,34,#DIV/0!,4,1,5,0.8,0.2,128646.7602
Saudi Arabia,33,104,#N/A,#N/A,#N/A,70,#N/A,#N/A,#N/A,#N/A,#N/A,137,#N/A,21,#N/A,104,#DIV/0!,70,#DIV/0!,#DIV/0!,137,21,4,0,4,1,0,53893.14761
Singapore,34,107,66,24,47,162,120,#N/A,35,25,57,#N/A,164,20,18,86.5,35.5,141,35,41,164,19,5,7,12,0.416666667,0.583333333,94104.70379
